type,sess_id,speaker_1_id,speaker_2_id,query,reply,n_turn,system_response,gen_reply
test,4-06496-4,20370.0,22697.0,"한달이 흘렀네요. 저는 다시 대구로 복귀했답니다. 잘 지내셨나요?<unused1>일 때문에 제법 바빴지만, 그래도 잘 지냈어요. 주말마다 공원에도 가고. 안 그래도 퇴근길이라 생각났는데, 대구는 지금 어때요?",한달이 흘렀네요. 저는 다시 대구로 복귀했답니다. 잘 지내셨나요?,4.0,"['', '', '']","['', '', '']"
test,4-45996-4,20370.0,22697.0,안녕하세요! 5주만이네요 그동안 잘 지내셨나요?<unused1>반가워요! 그동안 잘 지냈어요.<unused1>저는 최근에 영화를 보고 왔어요! 근데 주말이었는데도 사람이 적더라구요<unused1>굉장한데요? 주말에 사람이 없었다니 무슨 일이래요.<unused1>아무래도 인기있는 상업영화가 상영하고 있지 않아서 그런거 같아요!<unused1>저도 요즘 영화가 안끌리더라고요. 요즘은 굳이 영화관에 가지 않아도 볼 수 있는 매체들이 많으니까요.,맞아요! 최근에 @브랜드@에서 에놀라홈즈라는 영화를 봤는데 재밌더라구요,4.0,"['', '', '']","['', '', '']"
test,4-61547-4,20370.0,22697.0,똑똑 3일만이네요~ 잘지내고계시죠? ㅎㅎ하하<unused1>잘지내셨나요? 저는 요즘 야식을 너무 먹었더니 살이 부쩍는거같아요 ㅠㅠ,똑똑 3일만이네요~ 잘지내고계시죠? ㅎㅎ하하,4.0,"['', '', '']","['', '', '']"
test,4-18477-4,20370.0,22697.0,3시간만에 뵙네요~농구경기는 보셨나요?<unused1>네 티비로 봤는데 농구도 재밌더라구요<unused1>네~그렇지요!코트가 야구나 축구보다 작아서 한눈에 경기가 보여서 재미있는거 같아요<unused1>맞아요 . 야구와는 또다른 매력이 있더라구요<unused1>전 저번 올림픽때 펜싱경기도 재미있게 봤어요<unused1>저도요. 펜싱경기는 짧은 시간안에 승부가 나다보니 너무 조마조마 하더라구요<unused1>네! 펜싱 경기 보면 심장이 쫄깃해요.<u> 전올림픽 보면서 많은 운동경기를 알게된거 같아요<unused1>맞아요. 올림픽 통해 운동경기에 대한 관심이 많아졌어요,네!그렇긴 해요~~점차 우리나라 선수들도 잘 알지 못하는 경기에 나오기도 하고요,4.0,"['서 저는 이번 올림픽에서 피겨를 쳤던 기억이 있어요</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>', '서 저는 이번 올림픽에서 피겨를 쳤던 기억이 있어요 ᄒᄒ</s><pad><pad><pad><pad><pad><pad>', '서 저는 이번 올림픽에서 피겨를 <unk>아름<unk> 선수에게 줘서 기분이 좋았어요.</s>']","['서 저는 이번 올림픽에서 피겨를 쳤던 기억이 있어요<s>', '서 저는 이번 올림픽에서 피겨를 쳤던 기억이 있어요 ᄒᄒ<s>', '서 저는 이번 올림픽에서 피겨를 아름 선수에게 줘서 기분이 좋았어요.<s>']"
test,4-16136-4,20370.0,22697.0,하루가 지났네요. 운동복은 사셨어요?<unused1>네~ 상하의로 사고 왔어요~ 런닝화는 사셨나요?,하루가 지났네요. 운동복은 사셨어요?,4.0,"['', '', '']","['', '', '']"
test,4-66473-4,20370.0,22697.0,저희 일주일만이네요! 잘 지내셨나요?<unused1>벌써 일주일이 지났네요 시간이 너무 빨리 가네요,그러게요! 저는 버스타고 있는데 손소독제가 비치되어 있는것을 보니 위생적으로 관리를 해서 좋네요,4.0,"['', '', '']","['', '', '']"
test,4-15118-4,20370.0,22697.0,안녕하세요. 지난 2일간 잘지내셨나요?<unused1>네 저는 잘지냈어요! 잘지냈나요?,안녕하세요. 지난 2일간 잘지내셨나요?,4.0,"['', '', '']","['', '', '']"
test,4-02284-4,20370.0,22697.0,안녕하세요~ 3주만에 연락드려요~ 잘지내셨나요??? 아이가 몇살인가요? 우리아이는 어리지만 어떻게 키워야 할지 뭐가 적성에 맞는지 걱정입니다.<unused1>저도 아이가 초등이라 앞으로 어떻게 될지는 모르지만 저는 아이가 스스로 선택하고 원하는 것이 있을 때는 응원해주려고 합니다,안녕하세요~ 3주만에 연락드려요~ 잘지내셨나요??? 아이가 몇살인가요? 우리아이는 어리지만 어떻게 키워야 할지 뭐가 적성에 맞는지 걱정입니다.,4.0,"['', '', '']","['', '', '']"
test,4-22109-4,20370.0,22697.0,안녕하세요. 3주만에 대화하네요. 전에 오빠들에 대해 얘기해서 생각났는데 오빠가 직업군인인데 집에서 철없어보이는데 군대 내에 잠깐 들렸을때 다른 군인한테 하는거 보니 군인은 군인이다 생각했거든요. 색다른 모습을 본 것 같았어요.<unused1>멋진 직업을 가지고 계시네요. 저의 친오빠도 멋진 직업을 가졌으면 좋겠어요.<unused1>그러실 거에요. 철없어 보여도 자기 일은 하더라고요. <unused1>본인에 일을 열심히 하는 사람들을 보면 멋지다고 그런 사람처럼 되고 싶다는 생각이 들어요 J님도 오빠분을 보며 그런 생각이 드셨나요?<unused1>네 좀 달라보이더라구요. 누구든 무슨일을 하든 그 분야에 전문가면 멋있는 것 같아요. <unused1>저도 제가 좋아하는 분야에 전문가가 되서 오빠분같은 사람이 되고 싶네요.<unused1>꼭 되실거에요. 친오빠님은 아직 직장을 안다니는 거세요? 학생이신가요?<unused1>감사합니다 네 아직 학생이예요. ,그럼 좋은 직장에 취업하실거에요. 그리고 오빠분이 결혼하셔서 좋은 새언니 만나시면 사이도 좋아지더라구요. ,4.0,"['이셨나요?</s><pad><pad>', '같은 분이셨나요?</s>', '같은 분이셨나봐요.</s>']","['이셨나요?<s>', '같은 분이셨나요?<s>', '같은 분이셨나봐요.<s>']"
test,4-30824-4,20370.0,22697.0,37시간만이에요. 잘 지내셨죠?<unused1>네 잘 지냈어요. 지금도 뉴스를 보고 있는데 요즘 사건사고가 왜이리 많을까요<unused1>에휴 가끔은 뉴스 보기가 겁나요.<unused1>맞아요. 오늘은 북한 미사일 때문에 하루종일 난리네요<unused1>흠... 이럴땐 우리나라가 휴전국가였다는게 다시 실감이 나곤 해요. 요즘 우크라이나 러시아 전쟁보면서 너무 끔찍하고 안타까운데 너무 무섭네요.<unused1>맞아요 요즘 뉴스보면 나라에 무슨일이 생길 것 만 같아서 무섭네요<unused1>생각해 보면 6.25 전쟁이 우리 부모님 세대가 겪은 전쟁이잖아요. 그리 멀지 않은 과거라 생각하면 우리 모두 많은 것을 잊고 사는건 아닌가 싶어요.<unused1>맞아요 그래도 다행히 경보가 취소 되었다고 하네요.,아 다행이에요. 혹시 주변 친척이나 지인분중에 군복무중인분  없으세요?,4.0,"['않은 미래에 일어날지도 모르니 걱정입니다.</s><pad><pad>', '않은 미래에 일어날지도 모르니 걱정이에요</s>', '않은 미래에 일어날지도 모르니 걱정이네요\n</s>']","['않은 미래에 일어날지도 모르니 걱정입니다.<s>', '않은 미래에 일어날지도 모르니 걱정이에요<s>', '않은 미래에 일어날지도 모르니 걱정이네요 <s>']"
