type,sess_id,speaker_1_id,query,speaker_2_id,reply,system_response,gen_reply
test,4-06496-4,22032,한달이 흘렀네요. 저는 다시 대구로 복귀했답니다. 잘 지내셨나요?,22658,"일 때문에 제법 바빴지만, 그래도 잘 지냈어요. 주말마다 공원에도 가고. 안 그래도 퇴근길이라 생각났는데, 대구는 지금 어때요?",네 잘 지냈어요. 저는 요즘도 가끔 느긋해지네요.,네 잘 지냈어요. 저는 요즘도 가끔 느긋해지네요.
test,4-45996-4,11181,안녕하세요! 5주만이네요 그동안 잘 지내셨나요?,11700,반가워요! 그동안 잘 지냈어요.,네 잘 지냈어요! 저는 요즘에 코로나에 걸려서 격리 중이에요,네 잘 지냈어요! 저는 요즘에 코로나에 걸려서 격리 중이에요
test,4-45996-4,11181,저는 최근에 영화를 보고 왔어요! 근데 주말이었는데도 사람이 적더라구요,11700,굉장한데요? 주말에 사람이 없었다니 무슨 일이래요.,아하 그렇군요! 저는 요즘에 힙합 음악을 자주 듣고 있어요!,아하 그렇군요! 저는 요즘에 힙합 음악을 자주 듣고 있어요!
test,4-45996-4,11181,아무래도 인기있는 상업영화가 상영하고 있지 않아서 그런거 같아요!,11700,저도 요즘 영화가 안끌리더라고요. 요즘은 굳이 영화관에 가지 않아도 볼 수 있는 매체들이 많으니까요.,그렇군요! 저는 이만 일이 있어서 가볼게요!,그렇군요! 저는 이만 일이 있어서 가볼게요!
test,4-45996-4,11181,맞아요! 최근에 @브랜드@에서 에놀라홈즈라는 영화를 봤는데 재밌더라구요,11700,오오. 한 번도 들어보지 못한 영화라 흥미가 가는데요?,저도 <unk>브랜드<unk>영화 봤어요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,저도 브랜드영화 봤어요!!!
test,4-61547-4,12505,똑똑 3일만이네요~ 잘지내고계시죠? ㅎㅎ하하,12740,잘지내셨나요? 저는 요즘 야식을 너무 먹었더니 살이 부쩍는거같아요 ㅠㅠ,네~ 잘지냈어요~ ᄒᄒ 저는 잘지냈어요~ 님은요?,네~ 잘지냈어요~ ᄒᄒ 저는 잘지냈어요~ 님은요?
test,4-18477-4,51538,3시간만에 뵙네요~농구경기는 보셨나요?,41785,네 티비로 봤는데 농구도 재밌더라구요,네~ 봤어요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,네~ 봤어요!!!
test,4-18477-4,51538,네~그렇지요!코트가 야구나 축구보다 작아서 한눈에 경기가 보여서 재미있는거 같아요,41785,맞아요 . 야구와는 또다른 매력이 있더라구요,저도 월드컵때는 티비를 많이 보거든요!,저도 월드컵때는 티비를 많이 보거든요!
test,4-18477-4,51538,전 저번 올림픽때 펜싱경기도 재미있게 봤어요,41785,저도요. 펜싱경기는 짧은 시간안에 승부가 나다보니 너무 조마조마 하더라구요,펜싱은 정말 재밌죠. 저도 올림픽때 펜싱을 했었어요.,펜싱은 정말 재밌죠. 저도 올림픽때 펜싱을 했었어요.
test,4-18477-4,51538,네! 펜싱 경기 보면 심장이 쫄깃해요.<u> 전올림픽 보면서 많은 운동경기를 알게된거 같아요,41785,맞아요. 올림픽 통해 운동경기에 대한 관심이 많아졌어요,저도 올림픽때는 꼭 챙겨봐요! 저는 이만 일이 있어서 가볼게요!,저도 올림픽때는 꼭 챙겨봐요! 저는 이만 일이 있어서 가볼게요!
test,4-18477-4,51538,네!그렇긴 해요~~점차 우리나라 선수들도 잘 알지 못하는 경기에 나오기도 하고요,41785,맞아요. 제가 모르는 운동경기들이 참 많더라구요,맞아요~ 저도 잘 모르지만 우리나라 선수들 정말 잘 알고 있어요~,맞아요~ 저도 잘 모르지만 우리나라 선수들 정말 잘 알고 있어요~
test,4-18477-4,51538,네~전 높이뛰기도 이렇게 열심히 본적이 없네요,41785,제가 할때는 힘든데 남이 하는걸 보면 재밌어요,저도 높이뛰기 좋아합니다.,저도 높이뛰기 좋아합니다.
